Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Month-Year,Confirmed Daily,Deaths Daily,Recovered Daily
New Brunswick,Canada,46.5653,-66.4619,1/23/2020,0,0,0,Jan-20,0,0,0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/23/2020,0,0,0,Jan-20,0,0,0
Nova Scotia,Canada,44.682,-63.7443,1/23/2020,0,0,0,Jan-20,0,0,0
Ontario,Canada,51.2538,-85.3232,1/23/2020,0,0,0,Jan-20,0,0,0
Prince Edward Island,Canada,46.5107,-63.4168,1/23/2020,0,0,0,Jan-20,0,0,0
Quebec,Canada,52.9399,-73.5491,1/23/2020,0,0,0,Jan-20,0,0,0
Saskatchewan,Canada,52.9399,-106.4509,1/23/2020,0,0,0,Jan-20,0,0,0
Central African Republic,Central African Republic,6.6111,20.9394,1/23/2020,0,0,0,Jan-20,0,0,0
Chad,Chad,15.4542,18.7322,1/23/2020,0,0,0,Jan-20,0,0,0
Chile,Chile,-35.6751,-71.543,1/23/2020,0,0,0,Jan-20,0,0,0
Anhui,China,31.8257,117.2264,1/23/2020,9,0,0,Jan-20,8,0,0
Beijing,China,40.1824,116.4142,1/23/2020,22,0,0,Jan-20,8,0,0
Chongqing,China,30.0572,107.874,1/23/2020,9,0,0,Jan-20,3,0,0
Fujian,China,26.0789,117.9874,1/23/2020,5,0,0,Jan-20,4,0,0
Gansu,China,37.8099,101.0583,1/23/2020,2,0,0,Jan-20,2,0,0
Guangdong,China,23.3417,113.4244,1/23/2020,32,0,2,Jan-20,6,0,2
Guangxi,China,23.8298,108.7881,1/23/2020,5,0,0,Jan-20,3,0,0
Guizhou,China,26.8154,106.8748,1/23/2020,3,0,0,Jan-20,2,0,0
Hainan,China,19.1959,109.7453,1/23/2020,5,0,0,Jan-20,1,0,0
Hebei,China,39.549,116.1306,1/23/2020,1,1,0,Jan-20,0,1,0
Heilongjiang,China,47.862,127.7615,1/23/2020,2,0,0,Jan-20,2,0,0
Henan,China,33.882,113.614,1/23/2020,5,0,0,Jan-20,0,0,0
Hong Kong,China,22.3,114.2,1/23/2020,2,0,0,Jan-20,2,0,0
Hubei,China,30.9756,112.2707,1/23/2020,444,17,28,Jan-20,0,0,0
Hunan,China,27.6104,111.7088,1/23/2020,9,0,0,Jan-20,5,0,0
Inner Mongolia,China,44.0935,113.9448,1/23/2020,0,0,0,Jan-20,0,0,0
Jiangsu,China,32.9711,119.455,1/23/2020,5,0,0,Jan-20,4,0,0
Jiangxi,China,27.614,115.7221,1/23/2020,7,0,0,Jan-20,5,0,0
Jilin,China,43.6661,126.1923,1/23/2020,1,0,0,Jan-20,1,0,0
Liaoning,China,41.2956,122.6085,1/23/2020,3,0,0,Jan-20,1,0,0
Macau,China,22.1667,113.55,1/23/2020,2,0,0,Jan-20,1,0,0
Ningxia,China,37.2692,106.1655,1/23/2020,1,0,0,Jan-20,0,0,0
Qinghai,China,35.7452,95.9956,1/23/2020,0,0,0,Jan-20,0,0,0
Shaanxi,China,35.1917,108.8701,1/23/2020,3,0,0,Jan-20,3,0,0
Shandong,China,36.3427,118.1498,1/23/2020,6,0,0,Jan-20,4,0,0
Shanghai,China,31.202,121.4491,1/23/2020,16,0,0,Jan-20,7,0,0
Shanxi,China,37.5777,112.2922,1/23/2020,1,0,0,Jan-20,0,0,0
Sichuan,China,30.6171,102.7103,1/23/2020,8,0,0,Jan-20,3,0,0
Tianjin,China,39.3054,117.323,1/23/2020,4,0,0,Jan-20,0,0,0
Tibet,China,31.6927,88.0924,1/23/2020,0,0,0,Jan-20,0,0,0
Xinjiang,China,41.1129,85.2401,1/23/2020,2,0,0,Jan-20,2,0,0
Yunnan,China,24.974,101.487,1/23/2020,2,0,0,Jan-20,1,0,0
Zhejiang,China,29.1832,120.0934,1/23/2020,27,0,0,Jan-20,17,0,0
Colombia,Colombia,4.5709,-74.2973,1/23/2020,0,0,0,Jan-20,0,0,0
Congo (Brazzaville),Congo (Brazzaville),-4.0383,21.7587,1/23/2020,0,0,0,Jan-20,0,0,0
Congo (Kinshasa),Congo (Kinshasa),-4.0383,21.7587,1/23/2020,0,0,0,Jan-20,0,0,0
Costa Rica,Costa Rica,9.7489,-83.7534,1/23/2020,0,0,0,Jan-20,0,0,0
Cote d'Ivoire,Cote d'Ivoire,7.54,-5.5471,1/23/2020,0,0,0,Jan-20,0,0,0
Croatia,Croatia,45.1,15.2,1/23/2020,0,0,0,Jan-20,0,0,0
Diamond Princess,Diamond Princess,0,0,1/23/2020,0,0,0,Jan-20,0,0,0
Cuba,Cuba,22,-80,1/23/2020,0,0,0,Jan-20,0,0,0
Cyprus,Cyprus,35.1264,33.4299,1/23/2020,0,0,0,Jan-20,0,0,0
Czechia,Czechia,49.8175,15.473,1/23/2020,0,0,0,Jan-20,0,0,0
Faroe Islands,Denmark,61.8926,-6.9118,1/23/2020,0,0,0,Jan-20,0,0,0
Greenland,Denmark,71.7069,-42.6043,1/23/2020,0,0,0,Jan-20,0,0,0
Denmark,Denmark,56.2639,9.5018,1/23/2020,0,0,0,Jan-20,0,0,0
Djibouti,Djibouti,11.8251,42.5903,1/23/2020,0,0,0,Jan-20,0,0,0
Dominican Republic,Dominican Republic,18.7357,-70.1627,1/23/2020,0,0,0,Jan-20,0,0,0
Ecuador,Ecuador,-1.8312,-78.1834,1/23/2020,0,0,0,Jan-20,0,0,0
Egypt,Egypt,26,30,1/23/2020,0,0,0,Jan-20,0,0,0
El Salvador,El Salvador,13.7942,-88.8965,1/23/2020,0,0,0,Jan-20,0,0,0
Equatorial Guinea,Equatorial Guinea,1.5,10,1/23/2020,0,0,0,Jan-20,0,0,0
Eritrea,Eritrea,15.1794,39.7823,1/23/2020,0,0,0,Jan-20,0,0,0
Estonia,Estonia,58.5953,25.0136,1/23/2020,0,0,0,Jan-20,0,0,0
Eswatini,Eswatini,-26.5225,31.4659,1/23/2020,0,0,0,Jan-20,0,0,0
Ethiopia,Ethiopia,9.145,40.4897,1/23/2020,0,0,0,Jan-20,0,0,0
Fiji,Fiji,-17.7134,178.065,1/23/2020,0,0,0,Jan-20,0,0,0
Finland,Finland,64,26,1/23/2020,0,0,0,Jan-20,0,0,0
French Guiana,France,3.9339,-53.1258,1/23/2020,0,0,0,Jan-20,0,0,0
French Polynesia,France,-17.6797,149.4068,1/23/2020,0,0,0,Jan-20,0,0,0
Guadeloupe,France,16.25,-61.5833,1/23/2020,0,0,0,Jan-20,0,0,0
Mayotte,France,-12.8275,45.1662,1/23/2020,0,0,0,Jan-20,0,0,0
New Caledonia,France,-20.9043,165.618,1/23/2020,0,0,0,Jan-20,0,0,0
Reunion,France,-21.1351,55.2471,1/23/2020,0,0,0,Jan-20,0,0,0
Saint Barthelemy,France,17.9,-62.8333,1/23/2020,0,0,0,Jan-20,0,0,0
St Martin,France,18.0708,-63.0501,1/23/2020,0,0,0,Jan-20,0,0,0
Martinique,France,14.6415,-61.0242,1/23/2020,0,0,0,Jan-20,0,0,0
France,France,46.2276,2.2137,1/23/2020,0,0,0,Jan-20,0,0,0
Gabon,Gabon,-0.8037,11.6094,1/23/2020,0,0,0,Jan-20,0,0,0
Gambia,Gambia,13.4432,-15.3101,1/23/2020,0,0,0,Jan-20,0,0,0
Georgia,Georgia,42.3154,43.3569,1/23/2020,0,0,0,Jan-20,0,0,0
Germany,Germany,51,9,1/23/2020,0,0,0,Jan-20,0,0,0
Ghana,Ghana,7.9465,-1.0232,1/23/2020,0,0,0,Jan-20,0,0,0
Greece,Greece,39.0742,21.8243,1/23/2020,0,0,0,Jan-20,0,0,0
Guatemala,Guatemala,15.7835,-90.2308,1/23/2020,0,0,0,Jan-20,0,0,0
Guinea,Guinea,9.9456,-9.6966,1/23/2020,0,0,0,Jan-20,0,0,0
Guyana,Guyana,5,-58.75,1/23/2020,0,0,0,Jan-20,0,0,0
Haiti,Haiti,18.9712,-72.2852,1/23/2020,0,0,0,Jan-20,0,0,0
Holy See,Holy See,41.9029,12.4534,1/23/2020,0,0,0,Jan-20,0,0,0
Honduras,Honduras,15.2,-86.2419,1/23/2020,0,0,0,Jan-20,0,0,0
Hungary,Hungary,47.1625,19.5033,1/23/2020,0,0,0,Jan-20,0,0,0
Iceland,Iceland,64.9631,-19.0208,1/23/2020,0,0,0,Jan-20,0,0,0
India,India,21,78,1/23/2020,0,0,0,Jan-20,0,0,0
Indonesia,Indonesia,-0.7893,113.9213,1/23/2020,0,0,0,Jan-20,0,0,0
Iran,Iran,32,53,1/23/2020,0,0,0,Jan-20,0,0,0
Iraq,Iraq,33,44,1/23/2020,0,0,0,Jan-20,0,0,0
Ireland,Ireland,53.1424,-7.6921,1/23/2020,0,0,0,Jan-20,0,0,0
Israel,Israel,31,35,1/23/2020,0,0,0,Jan-20,0,0,0
Italy,Italy,43,12,1/23/2020,0,0,0,Jan-20,0,0,0
Jamaica,Jamaica,18.1096,-77.2975,1/23/2020,0,0,0,Jan-20,0,0,0
Japan,Japan,36,138,1/23/2020,2,0,0,Jan-20,0,0,0
Jordan,Jordan,31.24,36.51,1/23/2020,0,0,0,Jan-20,0,0,0
Kazakhstan,Kazakhstan,48.0196,66.9237,1/23/2020,0,0,0,Jan-20,0,0,0
Kenya,Kenya,-0.0236,37.9062,1/23/2020,0,0,0,Jan-20,0,0,0
Kuwait,Kuwait,29.5,47.75,1/23/2020,0,0,0,Jan-20,0,0,0
Kyrgyzstan,Kyrgyzstan,41.2044,74.7661,1/23/2020,0,0,0,Jan-20,0,0,0
Latvia,Latvia,56.8796,24.6032,1/23/2020,0,0,0,Jan-20,0,0,0
Lebanon,Lebanon,33.8547,35.8623,1/23/2020,0,0,0,Jan-20,0,0,0
Liberia,Liberia,6.4281,-9.4295,1/23/2020,0,0,0,Jan-20,0,0,0
Liechtenstein,Liechtenstein,47.14,9.55,1/23/2020,0,0,0,Jan-20,0,0,0
Lithuania,Lithuania,55.1694,23.8813,1/23/2020,0,0,0,Jan-20,0,0,0
Luxembourg,Luxembourg,49.8153,6.1296,1/23/2020,0,0,0,Jan-20,0,0,0
Madagascar,Madagascar,-18.7669,46.8691,1/23/2020,0,0,0,Jan-20,0,0,0
Malaysia,Malaysia,2.5,112.5,1/23/2020,0,0,0,Jan-20,0,0,0
Maldives,Maldives,3.2028,73.2207,1/23/2020,0,0,0,Jan-20,0,0,0
Malta,Malta,35.9375,14.3754,1/23/2020,0,0,0,Jan-20,0,0,0
Mauritania,Mauritania,21.0079,10.9408,1/23/2020,0,0,0,Jan-20,0,0,0
Mauritius,Mauritius,-20.2,57.5,1/23/2020,0,0,0,Jan-20,0,0,0
Mexico,Mexico,23.6345,-102.5528,1/23/2020,0,0,0,Jan-20,0,0,0
Moldova,Moldova,47.4116,28.3699,1/23/2020,0,0,0,Jan-20,0,0,0
Monaco,Monaco,43.7333,7.4167,1/23/2020,0,0,0,Jan-20,0,0,0
Mongolia,Mongolia,46.8625,103.8467,1/23/2020,0,0,0,Jan-20,0,0,0
Montenegro,Montenegro,42.5,19.3,1/23/2020,0,0,0,Jan-20,0,0,0
Morocco,Morocco,31.7917,-7.0926,1/23/2020,0,0,0,Jan-20,0,0,0
Namibia,Namibia,-22.9576,18.4904,1/23/2020,0,0,0,Jan-20,0,0,0
Nepal,Nepal,28.1667,84.25,1/23/2020,0,0,0,Jan-20,0,0,0
Aruba,Netherlands,12.5186,-70.0358,1/23/2020,0,0,0,Jan-20,0,0,0
Curacao,Netherlands,12.1696,-68.99,1/23/2020,0,0,0,Jan-20,0,0,0
Sint Maarten,Netherlands,18.0425,-63.0548,1/23/2020,0,0,0,Jan-20,0,0,0
Netherlands,Netherlands,52.1326,5.2913,1/23/2020,0,0,0,Jan-20,0,0,0
New Zealand,New Zealand,-40.9006,174.886,1/23/2020,0,0,0,Jan-20,0,0,0
Nicaragua,Nicaragua,12.8654,-85.2072,1/23/2020,0,0,0,Jan-20,0,0,0
Niger,Niger,17.6078,8.0817,1/23/2020,0,0,0,Jan-20,0,0,0
Nigeria,Nigeria,9.082,8.6753,1/23/2020,0,0,0,Jan-20,0,0,0
North Macedonia,North Macedonia,41.6086,21.7453,1/23/2020,0,0,0,Jan-20,0,0,0
Norway,Norway,60.472,8.4689,1/23/2020,0,0,0,Jan-20,0,0,0
Oman,Oman,21,57,1/23/2020,0,0,0,Jan-20,0,0,0
Pakistan,Pakistan,30.3753,69.3451,1/23/2020,0,0,0,Jan-20,0,0,0
Panama,Panama,8.538,-80.7821,1/23/2020,0,0,0,Jan-20,0,0,0
Papua New Guinea,Papua New Guinea,-6.315,143.9555,1/23/2020,0,0,0,Jan-20,0,0,0
Paraguay,Paraguay,-23.4425,-58.4438,1/23/2020,0,0,0,Jan-20,0,0,0
Peru,Peru,-9.19,-75.0152,1/23/2020,0,0,0,Jan-20,0,0,0
Philippines,Philippines,13,122,1/23/2020,0,0,0,Jan-20,0,0,0
Poland,Poland,51.9194,19.1451,1/23/2020,0,0,0,Jan-20,0,0,0
Portugal,Portugal,39.3999,-8.2245,1/23/2020,0,0,0,Jan-20,0,0,0
Qatar,Qatar,25.3548,51.1839,1/23/2020,0,0,0,Jan-20,0,0,0
Romania,Romania,45.9432,24.9668,1/23/2020,0,0,0,Jan-20,0,0,0
Russia,Russia,60,90,1/23/2020,0,0,0,Jan-20,0,0,0
Rwanda,Rwanda,-1.9403,29.8739,1/23/2020,0,0,0,Jan-20,0,0,0
Saint Lucia,Saint Lucia,13.9094,-60.9789,1/23/2020,0,0,0,Jan-20,0,0,0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,12.9843,-61.2872,1/23/2020,0,0,0,Jan-20,0,0,0
San Marino,San Marino,43.9424,12.4578,1/23/2020,0,0,0,Jan-20,0,0,0
Saudi Arabia,Saudi Arabia,24,45,1/23/2020,0,0,0,Jan-20,0,0,0
Senegal,Senegal,14.4974,-14.4524,1/23/2020,0,0,0,Jan-20,0,0,0
Serbia,Serbia,44.0165,21.0059,1/23/2020,0,0,0,Jan-20,0,0,0
Seychelles,Seychelles,-4.6796,55.492,1/23/2020,0,0,0,Jan-20,0,0,0
Singapore,Singapore,1.2833,103.8333,1/23/2020,1,0,0,Jan-20,1,0,0
Slovakia,Slovakia,48.669,19.699,1/23/2020,0,0,0,Jan-20,0,0,0
Slovenia,Slovenia,46.1512,14.9955,1/23/2020,0,0,0,Jan-20,0,0,0
Somalia,Somalia,5.1521,46.1996,1/23/2020,0,0,0,Jan-20,0,0,0
South Africa,South Africa,-30.5595,22.9375,1/23/2020,0,0,0,Jan-20,0,0,0
Spain,Spain,40,-4,1/23/2020,0,0,0,Jan-20,0,0,0
Sri Lanka,Sri Lanka,7,81,1/23/2020,0,0,0,Jan-20,0,0,0
Sudan,Sudan,12.8628,30.2176,1/23/2020,0,0,0,Jan-20,0,0,0
Suriname,Suriname,3.9193,-56.0278,1/23/2020,0,0,0,Jan-20,0,0,0
Sweden,Sweden,63,16,1/23/2020,0,0,0,Jan-20,0,0,0
Switzerland,Switzerland,46.8182,8.2275,1/23/2020,0,0,0,Jan-20,0,0,0
Taiwan*,Taiwan*,23.7,121,1/23/2020,1,0,0,Jan-20,0,0,0
Tanzania,Tanzania,-6.369,34.8888,1/23/2020,0,0,0,Jan-20,0,0,0
Thailand,Thailand,15,101,1/23/2020,3,0,0,Jan-20,1,0,0
Togo,Togo,8.6195,0.8248,1/23/2020,0,0,0,Jan-20,0,0,0
Trinidad and Tobago,Trinidad and Tobago,10.6918,-61.2225,1/23/2020,0,0,0,Jan-20,0,0,0
Tunisia,Tunisia,34,9,1/23/2020,0,0,0,Jan-20,0,0,0
Turkey,Turkey,38.9637,35.2433,1/23/2020,0,0,0,Jan-20,0,0,0
Uganda,Uganda,1,32,1/23/2020,0,0,0,Jan-20,0,0,0
Ukraine,Ukraine,48.3794,31.1656,1/23/2020,0,0,0,Jan-20,0,0,0
United Arab Emirates,United Arab Emirates,24,54,1/23/2020,0,0,0,Jan-20,0,0,0
Bermuda,United Kingdom,32.3078,-64.7505,1/23/2020,0,0,0,Jan-20,0,0,0
Cayman Islands,United Kingdom,19.3133,-81.2546,1/23/2020,0,0,0,Jan-20,0,0,0
Channel Islands,United Kingdom,49.3723,-2.3644,1/23/2020,0,0,0,Jan-20,0,0,0
Gibraltar,United Kingdom,36.1408,-5.3536,1/23/2020,0,0,0,Jan-20,0,0,0
Isle of Man,United Kingdom,54.2361,-4.5481,1/23/2020,0,0,0,Jan-20,0,0,0
Montserrat,United Kingdom,16.7425,-62.1874,1/23/2020,0,0,0,Jan-20,0,0,0
United Kingdom,United Kingdom,55.3781,-3.436,1/23/2020,0,0,0,Jan-20,0,0,0
Uruguay,Uruguay,-32.5228,-55.7658,1/23/2020,0,0,0,Jan-20,0,0,0
US,US,37.0902,-95.7129,1/23/2020,1,0,0,Jan-20,0,0,0
Uzbekistan,Uzbekistan,41.3775,64.5853,1/23/2020,0,0,0,Jan-20,0,0,0
Venezuela,Venezuela,6.4238,-66.5897,1/23/2020,0,0,0,Jan-20,0,0,0
Vietnam,Vietnam,16,108,1/23/2020,2,0,0,Jan-20,2,0,0
Zambia,Zambia,-15.4167,28.2833,1/23/2020,0,0,0,Jan-20,0,0,0
Zimbabwe,Zimbabwe,-20,30,1/23/2020,0,0,0,Jan-20,0,0,0
Diamond Princess,Canada,0,0,1/23/2020,0,0,0,Jan-20,0,0,0
Dominica,Dominica,15.415,-61.371,1/23/2020,0,0,0,Jan-20,0,0,0
Grenada,Grenada,12.1165,-61.679,1/23/2020,0,0,0,Jan-20,0,0,0
Mozambique,Mozambique,-18.665695,35.529562,1/23/2020,0,0,0,Jan-20,0,0,0
Syria,Syria,34.802075,38.996815,1/23/2020,0,0,0,Jan-20,0,0,0
Timor-Leste,Timor-Leste,-8.874217,125.727539,1/23/2020,0,0,0,Jan-20,0,0,0
Belize,Belize,13.1939,-59.5432,1/23/2020,0,0,0,Jan-20,0,0,0
Recovered,Canada,0,0,1/23/2020,0,0,0,Jan-20,0,0,0
Laos,Laos,19.85627,102.495496,1/23/2020,0,0,0,Jan-20,0,0,0
Libya,Libya,26.3351,17.228331,1/23/2020,0,0,0,Jan-20,0,0,0
West Bank and Gaza,West Bank and Gaza,31.9522,35.2332,1/23/2020,0,0,0,Jan-20,0,0,0
Guinea-Bissau,Guinea-Bissau,11.8037,-15.1804,1/23/2020,0,0,0,Jan-20,0,0,0
Mali,Mali,17.570692,-3.996166,1/23/2020,0,0,0,Jan-20,0,0,0
Saint Kitts and Nevis,Saint Kitts and Nevis,17.357822,-62.782998,1/23/2020,0,0,0,Jan-20,0,0,0
Northwest Territories,Canada,64.8255,-124.8457,1/23/2020,0,0,0,Jan-20,0,0,0
Yukon,Canada,64.2823,-135,1/23/2020,0,0,0,Jan-20,0,0,0
Kosovo,Kosovo,42.602636,20.902977,1/23/2020,0,0,0,Jan-20,0,0,0
Burma,Burma,21.9162,95.956,1/23/2020,0,0,0,Jan-20,0,0,0
Anguilla,United Kingdom,18.2206,-63.0686,1/23/2020,0,0,0,Jan-20,0,0,0
British Virgin Islands,United Kingdom,18.4207,-64.64,1/23/2020,0,0,0,Jan-20,0,0,0
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,1/23/2020,0,0,0,Jan-20,0,0,0
MS Zaandam,MS Zaandam,0,0,1/23/2020,0,0,0,Jan-20,0,0,0
Botswana,Botswana,-22.3285,24.6849,1/23/2020,0,0,0,Jan-20,0,0,0
Burundi,Burundi,-3.3731,29.9189,1/23/2020,0,0,0,Jan-20,0,0,0
Sierra Leone,Sierra Leone,8.460555,-11.779889,1/23/2020,0,0,0,Jan-20,0,0,0
Malawi,Malawi,-13.254308,34.301525,1/23/2020,0,0,0,Jan-20,0,0,0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,1/23/2020,0,0,0,Jan-20,0,0,0
Saint Pierre and Miquelon,France,46.8852,-56.3159,1/23/2020,0,0,0,Jan-20,0,0,0
South Sudan,South Sudan,6.877,31.307,1/23/2020,0,0,0,Jan-20,0,0,0
Western Sahara,Western Sahara,24.2155,-12.8858,1/23/2020,0,0,0,Jan-20,0,0,0
Sao Tome and Principe,Sao Tome and Principe,0.18636,6.613081,1/23/2020,0,0,0,Jan-20,0,0,0
Yemen,Yemen,15.552727,48.516388,1/23/2020,0,0,0,Jan-20,0,0,0
Afghanistan,Afghanistan,33,65,1/24/2020,0,0,0,Jan-20,0,0,0
Albania,Albania,41.1533,20.1683,1/24/2020,0,0,0,Jan-20,0,0,0
Algeria,Algeria,28.0339,1.6596,1/24/2020,0,0,0,Jan-20,0,0,0
Andorra,Andorra,42.5063,1.5218,1/24/2020,0,0,0,Jan-20,0,0,0
Angola,Angola,-11.2027,17.8739,1/24/2020,0,0,0,Jan-20,0,0,0
Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,1/24/2020,0,0,0,Jan-20,0,0,0
Argentina,Argentina,-38.4161,-63.6167,1/24/2020,0,0,0,Jan-20,0,0,0
Armenia,Armenia,40.0691,45.0382,1/24/2020,0,0,0,Jan-20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/24/2020,0,0,0,Jan-20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/24/2020,0,0,0,Jan-20,0,0,0
Northern Territory,Australia,-12.4634,130.8456,1/24/2020,0,0,0,Jan-20,0,0,0
Queensland,Australia,-28.0167,153.4,1/24/2020,0,0,0,Jan-20,0,0,0
South Australia,Australia,-34.9285,138.6007,1/24/2020,0,0,0,Jan-20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/24/2020,0,0,0,Jan-20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/24/2020,0,0,0,Jan-20,0,0,0
Western Australia,Australia,-31.9505,115.8605,1/24/2020,0,0,0,Jan-20,0,0,0
Austria,Austria,47.5162,14.5501,1/24/2020,0,0,0,Jan-20,0,0,0
Azerbaijan,Azerbaijan,40.1431,47.5769,1/24/2020,0,0,0,Jan-20,0,0,0
Bahamas,Bahamas,25.0343,-77.3963,1/24/2020,0,0,0,Jan-20,0,0,0
Bahrain,Bahrain,26.0275,50.55,1/24/2020,0,0,0,Jan-20,0,0,0
Bangladesh,Bangladesh,23.685,90.3563,1/24/2020,0,0,0,Jan-20,0,0,0
Barbados,Barbados,13.1939,-59.5432,1/24/2020,0,0,0,Jan-20,0,0,0
Belarus,Belarus,53.7098,27.9534,1/24/2020,0,0,0,Jan-20,0,0,0
Belgium,Belgium,50.8333,4,1/24/2020,0,0,0,Jan-20,0,0,0
Benin,Benin,9.3077,2.3158,1/24/2020,0,0,0,Jan-20,0,0,0
Bhutan,Bhutan,27.5142,90.4336,1/24/2020,0,0,0,Jan-20,0,0,0
Bolivia,Bolivia,-16.2902,-63.5887,1/24/2020,0,0,0,Jan-20,0,0,0
Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,1/24/2020,0,0,0,Jan-20,0,0,0
Brazil,Brazil,-14.235,-51.9253,1/24/2020,0,0,0,Jan-20,0,0,0
Brunei,Brunei,4.5353,114.7277,1/24/2020,0,0,0,Jan-20,0,0,0
Bulgaria,Bulgaria,42.7339,25.4858,1/24/2020,0,0,0,Jan-20,0,0,0
Burkina Faso,Burkina Faso,12.2383,-1.5616,1/24/2020,0,0,0,Jan-20,0,0,0
Cabo Verde,Cabo Verde,16.5388,-23.0418,1/24/2020,0,0,0,Jan-20,0,0,0
Cambodia,Cambodia,11.55,104.9167,1/24/2020,0,0,0,Jan-20,0,0,0
Cameroon,Cameroon,3.848,11.5021,1/24/2020,0,0,0,Jan-20,0,0,0
Alberta,Canada,53.9333,-116.5765,1/24/2020,0,0,0,Jan-20,0,0,0
British Columbia,Canada,49.2827,-123.1207,1/24/2020,0,0,0,Jan-20,0,0,0
Grand Princess,Canada,37.6489,-122.6655,1/24/2020,0,0,0,Jan-20,0,0,0
Manitoba,Canada,53.7609,-98.8139,1/24/2020,0,0,0,Jan-20,0,0,0
New Brunswick,Canada,46.5653,-66.4619,1/24/2020,0,0,0,Jan-20,0,0,0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/24/2020,0,0,0,Jan-20,0,0,0
Nova Scotia,Canada,44.682,-63.7443,1/24/2020,0,0,0,Jan-20,0,0,0
Ontario,Canada,51.2538,-85.3232,1/24/2020,0,0,0,Jan-20,0,0,0
Prince Edward Island,Canada,46.5107,-63.4168,1/24/2020,0,0,0,Jan-20,0,0,0
Quebec,Canada,52.9399,-73.5491,1/24/2020,0,0,0,Jan-20,0,0,0
Saskatchewan,Canada,52.9399,-106.4509,1/24/2020,0,0,0,Jan-20,0,0,0
Central African Republic,Central African Republic,6.6111,20.9394,1/24/2020,0,0,0,Jan-20,0,0,0
Chad,Chad,15.4542,18.7322,1/24/2020,0,0,0,Jan-20,0,0,0
Chile,Chile,-35.6751,-71.543,1/24/2020,0,0,0,Jan-20,0,0,0
Anhui,China,31.8257,117.2264,1/24/2020,15,0,0,Jan-20,6,0,0
Beijing,China,40.1824,116.4142,1/24/2020,36,0,1,Jan-20,14,0,1
Chongqing,China,30.0572,107.874,1/24/2020,27,0,0,Jan-20,18,0,0
Fujian,China,26.0789,117.9874,1/24/2020,10,0,0,Jan-20,5,0,0
Gansu,China,37.8099,101.0583,1/24/2020,2,0,0,Jan-20,0,0,0
Guangdong,China,23.3417,113.4244,1/24/2020,53,0,2,Jan-20,21,0,0
Guangxi,China,23.8298,108.7881,1/24/2020,23,0,0,Jan-20,18,0,0
Guizhou,China,26.8154,106.8748,1/24/2020,3,0,0,Jan-20,0,0,0
Hainan,China,19.1959,109.7453,1/24/2020,8,0,0,Jan-20,3,0,0
Hebei,China,39.549,116.1306,1/24/2020,2,1,0,Jan-20,1,0,0
Heilongjiang,China,47.862,127.7615,1/24/2020,4,1,0,Jan-20,2,1,0
Henan,China,33.882,113.614,1/24/2020,9,0,0,Jan-20,4,0,0
Hong Kong,China,22.3,114.2,1/24/2020,2,0,0,Jan-20,0,0,0
Hubei,China,30.9756,112.2707,1/24/2020,549,24,31,Jan-20,105,7,3
Hunan,China,27.6104,111.7088,1/24/2020,24,0,0,Jan-20,15,0,0
Inner Mongolia,China,44.0935,113.9448,1/24/2020,1,0,0,Jan-20,1,0,0
Jiangsu,China,32.9711,119.455,1/24/2020,9,0,0,Jan-20,4,0,0
Jiangxi,China,27.614,115.7221,1/24/2020,18,0,0,Jan-20,11,0,0
Jilin,China,43.6661,126.1923,1/24/2020,3,0,0,Jan-20,2,0,0
Liaoning,China,41.2956,122.6085,1/24/2020,4,0,0,Jan-20,1,0,0
Macau,China,22.1667,113.55,1/24/2020,2,0,0,Jan-20,0,0,0
Ningxia,China,37.2692,106.1655,1/24/2020,2,0,0,Jan-20,1,0,0
Qinghai,China,35.7452,95.9956,1/24/2020,0,0,0,Jan-20,0,0,0
Shaanxi,China,35.1917,108.8701,1/24/2020,5,0,0,Jan-20,2,0,0
Shandong,China,36.3427,118.1498,1/24/2020,15,0,0,Jan-20,9,0,0
Shanghai,China,31.202,121.4491,1/24/2020,20,0,1,Jan-20,4,0,1
Shanxi,China,37.5777,112.2922,1/24/2020,1,0,0,Jan-20,0,0,0
Sichuan,China,30.6171,102.7103,1/24/2020,15,0,0,Jan-20,7,0,0
Tianjin,China,39.3054,117.323,1/24/2020,8,0,0,Jan-20,4,0,0
Tibet,China,31.6927,88.0924,1/24/2020,0,0,0,Jan-20,0,0,0
Xinjiang,China,41.1129,85.2401,1/24/2020,2,0,0,Jan-20,0,0,0
Yunnan,China,24.974,101.487,1/24/2020,5,0,0,Jan-20,3,0,0
Zhejiang,China,29.1832,120.0934,1/24/2020,43,0,1,Jan-20,16,0,1
Colombia,Colombia,4.5709,-74.2973,1/24/2020,0,0,0,Jan-20,0,0,0
